Sort_Row,MANUSCRIPT INFORAMTION,,,,,,DATA MODERATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLIMATE,,,,,,,,,,EXPERIMENTAL DESIGN,,,,,,SOIL INITIAL CONDITIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANATMENT DETAILS,,,,,,,,,,,,,,AMENDMENT,,,,,,,,,,RESPONSE,,,,,,,,,,,,,NOTES, , , , ,CONTROL CONDITIONS (w/ fertilizer),,,,,,,
3,ACC,LeadAuthor,page,source,comments,mangement_notes,crop,crop_group,crop_system,culitivar_details,depth.start,depth.end,param_notes,param,param_group,C.method,method.notes,units,trt_name,amend,amend_group,amend_group_brd,amdend_detail,irrigated,irrigation_group,tillage_type,country,site_name,lat.long,lat_group,long.dec.degree,lat.dec.degree,MAP,MAT,temp.worldclim.C,precip.worldclim.mm,elevation,biom_name,biom_cat,MAP_av,MAP_min,MAP_max,MAP_yrs,MAT_av,MAT_min,MAT_max,landuse.history,exp_design,subplot_dim,year.zero,exp_duration_mos,duration_group,duration_even,soil.name,soil.class,soil.order,slope,soil.texture,sand,silt,clay,clay_group,pH,pH_group,pH.method,carbonates,CEC,BD,SOC_int_group,SOC_g.kg,SOC_int,SOC_int_unit,SOC_depth_cm,SOC_int_percent,calc_SOC_int_g.kg,N_int,N_unit,P_int,P_int_unit,K_int,K_int_units,tillage_details,tillage_depth,till_depth_group,NPK_rate,Nfert,Nfert_group,Nfert_rate,Pfert,Pfert_rate,Kfert,Kfert_rate,other_addition,other_addition_rate,fert_notes,reps,C.rate_group,C.rate_Mg.ha,weight.dry_group,weight.dry,N.amend_g.kg,C.N_rate,amend_N_kg.ha,amend_N_kg.ha_group,app.method,extraction_x-axis_value,X_cf,SE_cf,SD_cf,N_cf,X_a,SE_a,SD_a,N_a,X_cmin,SE_cmin,SD_cmin,N_cmin,conclusion,quality,exp_quality,report_qual,references,Cf_N,Cf_N_rate,Cf_P,Cf_P_rate,Cf_K,Cf_K_rate,Cf_other,Cf_rate_other
4,111,Aoyama,297,table1,na,residues removed,maize_wheat_beetroot_canola_barley,grain,rotation,"corn ﻿(Zea mays L.), wheat (Triticum aestivum L.), beetroot (Beta vulgaris L.), canola (Brassica campestris L.) and barley (Hordeum vulgaris L.)",0,10,TC,C,C,combustion,na,g.kg_soil,manure,manure,manure,manure,"cattle, compare to control and NPK",na,na,CT,Canada,"Quebec, St-Lambert de Levis, Ministere de l""Agriculture, Soil Research station","46°34' N, 71°13' W",high,-71.21666667,46.56666667,1000,4.4,4.4,1094,150,temperate broadleaf forest,temperate,1000,na,na,na,na,na,na,na,split-plot,80,1978,216,10-30,10-20,Le Bras laom,FAO_humic gleysol,na,na,loam,30,46,24,<25%,6.2,<6.5,water,0,na,na,na,na,na,g.kg,10,na,na,na,kg.ha,na,kg.ha,na,kg.ha,moldboard,20,10-20,na,na,75-150,75,na,na,na,na,lime,3000,lime only every 5yrs,3,<5,1.88,<5,4.16,4.4,102.7097902,90,50-100,na,na,22.9,na,na,3,31.4,na,na,3,21.6,na,na,3,"positive, FYM enhances macroaggregation",3,3,complete,"N'Dayegamiye 1996 ""Response of silage corn and wheat to dairy maure and fertilizers in long-term fertilized and manure trials",na,na,na,na,na,na,na,na
5,111,Aoyama,297,table1,na,residues removed,maize_wheat_beetroot_canola_barley,grain,rotation,"corn ﻿(Zea mays L.), wheat (Triticum aestivum L.), beetroot (Beta vulgaris L.), canola (Brassica campestris L.) and barley (Hordeum vulgaris L.)",0,10,TC,C,C,combustion,na,g.kg_soil,manure+NPK,manure,manure,manure,"cattle, compare to NPK",na,na,CT,Canada,"Quebec, St-Lambert de Levis, Ministere de l""Agriculture, Soil Research station","46°34' N, 71°13' W",high,-71.21666667,46.56666667,1000,4.4,4.4,1094,150,temperate broadleaf forest,temperate,1000,na,na,na,na,na,na,na,split-plot,80,1978,216,10-30,10-20,Le Bras laom,FAO_humic gleysol,na,na,loam,30,46,24,<25%,6.2,<6.5,water,0,na,na,na,na,na,g.kg,10,na,na,na,kg.ha,na,kg.ha,na,kg.ha,moldboard,20,10-20,na,na,75-150,75,na,na,na,na,lime,3000,lime only every 5yrs,3,<5,1.88,<5,4.16,4.4,102.7097902,90,50-100,na,na,22.9,na,na,3,28,na,na,3,na,na,na,na,"positive, FYM enhances macroaggregation",3,3,complete,"N'Dayegamiye 1996 ""Response of silage corn and wheat to dairy maure and fertilizers in long-term fertilized and manure trials",na,na,na,na,na,na,na,na
6,111,Aoyama,297,table1,na,residues removed,maize_wheat_beetroot_canola_barley,grain,rotation,"corn ﻿(Zea mays L.), wheat (Triticum aestivum L.), beetroot (Beta vulgaris L.), canola (Brassica campestris L.) and barley (Hordeum vulgaris L.)",0,10,C.N,C.N,C.N,combustion,na,ratio,manure,manure,manure,manure,"cattle, compare to control and NPK",na,na,CT,Canada,"Quebec, St-Lambert de Levis, Ministere de l""Agriculture, Soil Research station","46°34' N, 71°13' W",high,-71.21666667,46.56666667,1000,4.4,4.4,1094,150,temperate broadleaf forest,temperate,1000,na,na,na,na,na,na,na,split-plot,80,1978,216,10-30,10-20,Le Bras laom,FAO_humic gleysol,na,na,loam,30,46,24,<25%,6.2,<6.5,water,0,na,na,na,na,na,g.kg,10,na,na,na,kg.ha,na,kg.ha,na,kg.ha,moldboard,20,10-20,na,na,75-150,75,na,na,na,na,lime,3000,lime only every 5yrs,3,<5,1.88,<5,4.16,4.4,102.7097902,90,50-100,na,na,15.4,na,na,3,16.4,na,na,3,16.2,na,na,3,"positive, FYM enhances macroaggregation",3,3,complete,"N'Dayegamiye 1996 ""Response of silage corn and wheat to dairy maure and fertilizers in long-term fertilized and manure trials",na,na,na,na,na,na,na,na
7,111,Aoyama,297,table1,na,residues removed,maize_wheat_beetroot_canola_barley,grain,rotation,"corn ﻿(Zea mays L.), wheat (Triticum aestivum L.), beetroot (Beta vulgaris L.), canola (Brassica campestris L.) and barley (Hordeum vulgaris L.)",0,10,C.N,C.N,C.N,combustion,na,ratio,manure+NPK,manure,manure,manure,"cattle, compare to NPK",na,na,CT,Canada,"Quebec, St-Lambert de Levis, Ministere de l""Agriculture, Soil Research station","46°34' N, 71°13' W",high,-71.21666667,46.56666667,1000,4.4,4.4,1094,150,temperate broadleaf forest,temperate,1000,na,na,na,na,na,na,na,split-plot,80,1978,216,10-30,10-20,Le Bras laom,FAO_humic gleysol,na,na,loam,30,46,24,<25%,6.2,<6.5,water,0,na,na,na,na,na,g.kg,10,na,na,na,kg.ha,na,kg.ha,na,kg.ha,moldboard,20,10-20,na,na,75-150,75,na,na,na,na,lime,3000,lime only every 5yrs,3,<5,1.88,<5,4.16,4.4,102.7097902,90,50-100,na,na,15.4,na,na,3,15.2,na,na,3,na,na,na,na,"positive, FYM enhances macroaggregation",3,3,complete,"N'Dayegamiye 1996 ""Response of silage corn and wheat to dairy maure and fertilizers in long-term fertilized and manure trials",na,na,na,na,na,na,na,na
8,111,Aoyama,297,table1,na,residues removed,maize_wheat_beetroot_canola_barley,grain,rotation,"corn ﻿(Zea mays L.), wheat (Triticum aestivum L.), beetroot (Beta vulgaris L.), canola (Brassica campestris L.) and barley (Hordeum vulgaris L.)",0,10,TN,N,N,combustion,na,g.kg_soil,manure,manure,manure,manure,"cattle, compare to control and NPK",na,na,CT,Canada,"Quebec, St-Lambert de Levis, Ministere de l""Agriculture, Soil Research station","46°34' N, 71°13' W",high,-71.21666667,46.56666667,1000,4.4,4.4,1094,150,temperate broadleaf forest,temperate,1000,na,na,na,na,na,na,na,split-plot,80,1978,216,10-30,10-20,Le Bras laom,FAO_humic gleysol,na,na,loam,30,46,24,<25%,6.2,<6.5,water,0,na,na,na,na,na,g.kg,10,na,na,na,kg.ha,na,kg.ha,na,kg.ha,moldboard,20,10-20,na,na,75-150,75,na,na,na,na,lime,3000,lime only every 5yrs,3,<5,1.88,<5,4.16,4.4,102.7097902,90,50-100,na,na,1.49,na,na,3,1.91,na,na,3,1.33,na,na,3,"positive, FYM enhances macroaggregation",3,3,complete,"N'Dayegamiye 1996 ""Response of silage corn and wheat to dairy maure and fertilizers in long-term fertilized and manure trials",na,na,na,na,na,na,na,na
9,111,Aoyama,297,table1,na,residues removed,maize_wheat_beetroot_canola_barley,grain,rotation,"corn ﻿(Zea mays L.), wheat (Triticum aestivum L.), beetroot (Beta vulgaris L.), canola (Brassica campestris L.) and barley (Hordeum vulgaris L.)",0,10,TN,N,N,combustion,na,g.kg_soil,manure+NPK,manure,manure,manure,"cattle, compare to NPK",na,na,CT,Canada,"Quebec, St-Lambert de Levis, Ministere de l""Agriculture, Soil Research station","46°34' N, 71°13' W",high,-71.21666667,46.56666667,1000,4.4,4.4,1094,150,temperate broadleaf forest,temperate,1000,na,na,na,na,na,na,na,split-plot,80,1978,216,10-30,10-20,Le Bras laom,FAO_humic gleysol,na,na,loam,30,46,24,<25%,6.2,<6.5,water,0,na,na,na,na,na,g.kg,10,na,na,na,kg.ha,na,kg.ha,na,kg.ha,moldboard,20,10-20,na,na,75-150,75,na,na,na,na,lime,3000,lime only every 5yrs,3,<5,1.88,<5,4.16,4.4,102.7097902,90,50-100,na,na,1.49,na,na,3,1.84,na,na,3,na,na,na,na,"positive, FYM enhances macroaggregation",3,3,complete,"N'Dayegamiye 1996 ""Response of silage corn and wheat to dairy maure and fertilizers in long-term fertilized and manure trials",na,na,na,na,na,na,na,na
10,111,Aoyama,297,table2,na,residues removed,maize_wheat_beetroot_canola_barley,grain,rotation,"corn ﻿(Zea mays L.), wheat (Triticum aestivum L.), beetroot (Beta vulgaris L.), canola (Brassica campestris L.) and barley (Hordeum vulgaris L.)",0,10,agg_>1mm,agg_meso,agg,fractionation,na,percent,manure,manure,manure,manure,"cattle, compare to control and NPK",na,na,CT,Canada,"Quebec, St-Lambert de Levis, Ministere de l""Agriculture, Soil Research station","46°34' N, 71°13' W",high,-71.21666667,46.56666667,1000,4.4,4.4,1094,150,temperate broadleaf forest,temperate,1000,na,na,na,na,na,na,na,split-plot,80,1978,216,10-30,10-20,Le Bras laom,FAO_humic gleysol,na,na,loam,30,46,24,<25%,6.2,<6.5,water,0,na,na,na,na,na,g.kg,10,na,na,na,kg.ha,na,kg.ha,na,kg.ha,moldboard,20,10-20,na,na,75-150,75,na,na,na,na,lime,3000,lime only every 5yrs,3,<5,1.88,<5,4.16,4.4,102.7097902,90,50-100,na,na,12.1,na,na,3,11,na,na,3,9.8,na,na,3,"positive, FYM enhances macroaggregation",3,3,complete,"N'Dayegamiye 1996 ""Response of silage corn and wheat to dairy maure and fertilizers in long-term fertilized and manure trials",na,na,na,na,na,na,na,na
11,111,Aoyama,297,table2,na,residues removed,maize_wheat_beetroot_canola_barley,grain,rotation,"corn ﻿(Zea mays L.), wheat (Triticum aestivum L.), beetroot (Beta vulgaris L.), canola (Brassica campestris L.) and barley (Hordeum vulgaris L.)",0,10,agg_>.25mm,agg_meso,agg,fractionation,na,percent,manure,manure,manure,manure,"cattle, compare to control and NPK",na,na,CT,Canada,"Quebec, St-Lambert de Levis, Ministere de l""Agriculture, Soil Research station","46°34' N, 71°13' W",high,-71.21666667,46.56666667,1000,4.4,4.4,1094,150,temperate broadleaf forest,temperate,1000,na,na,na,na,na,na,na,split-plot,80,1978,216,10-30,10-20,Le Bras laom,FAO_humic gleysol,na,na,loam,30,46,24,<25%,6.2,<6.5,water,0,na,na,na,na,na,g.kg,10,na,na,na,kg.ha,na,kg.ha,na,kg.ha,moldboard,20,10-20,na,na,75-150,75,na,na,na,na,lime,3000,lime only every 5yrs,3,<5,1.88,<5,4.16,4.4,102.7097902,90,50-100,na,na,21,na,na,3,26.6,na,na,3,14.9,na,na,3,"positive, FYM enhances macroaggregation",3,3,complete,"N'Dayegamiye 1996 ""Response of silage corn and wheat to dairy maure and fertilizers in long-term fertilized and manure trials",na,na,na,na,na,na,na,na
12,111,Aoyama,297,table2,na,residues removed,maize_wheat_beetroot_canola_barley,grain,rotation,"corn ﻿(Zea mays L.), wheat (Triticum aestivum L.), beetroot (Beta vulgaris L.), canola (Brassica campestris L.) and barley (Hordeum vulgaris L.)",0,10,agg_>1mm,agg_meso,agg,fractionation,na,percent,manure+NPK,manure,manure,manure,"cattle, compare to NPK",na,na,CT,Canada,"Quebec, St-Lambert de Levis, Ministere de l""Agriculture, Soil Research station","46°34' N, 71°13' W",high,-71.21666667,46.56666667,1000,4.4,4.4,1094,150,temperate broadleaf forest,temperate,1000,na,na,na,na,na,na,na,split-plot,80,1978,216,10-30,10-20,Le Bras laom,FAO_humic gleysol,na,na,loam,30,46,24,<25%,6.2,<6.5,water,0,na,na,na,na,na,g.kg,10,na,na,na,kg.ha,na,kg.ha,na,kg.ha,moldboard,20,10-20,na,na,75-150,75,na,na,na,na,lime,3000,lime only every 5yrs,3,<5,1.88,<5,4.16,4.4,102.7097902,90,50-100,na,na,12.1,na,na,3,11,na,na,3,na,na,na,na,"positive, FYM enhances macroaggregation",3,3,complete,"N'Dayegamiye 1996 ""Response of silage corn and wheat to dairy maure and fertilizers in long-term fertilized and manure trials",na,na,na,na,na,na,na,na
13,111,Aoyama,297,table2,na,residues removed,maize_wheat_beetroot_canola_barley,grain,rotation,"corn ﻿(Zea mays L.), wheat (Triticum aestivum L.), beetroot (Beta vulgaris L.), canola (Brassica campestris L.) and barley (Hordeum vulgaris L.)",0,10,agg_>.25mm,agg_meso,agg,fractionation,na,percent,manure+NPK,manure,manure,manure,"cattle, compare to NPK",na,na,CT,Canada,"Quebec, St-Lambert de Levis, Ministere de l""Agriculture, Soil Research station","46°34' N, 71°13' W",high,-71.21666667,46.56666667,1000,4.4,4.4,1094,150,temperate broadleaf forest,temperate,1000,na,na,na,na,na,na,na,split-plot,80,1978,216,10-30,10-20,Le Bras laom,FAO_humic gleysol,na,na,loam,30,46,24,<25%,6.2,<6.5,water,0,na,na,na,na,na,g.kg,10,na,na,na,kg.ha,na,kg.ha,na,kg.ha,moldboard,20,10-20,na,na,75-150,75,na,na,na,na,lime,3000,lime only every 5yrs,3,<5,1.88,<5,4.16,4.4,102.7097902,90,50-100,na,na,21,na,na,3,27.4,na,na,3,na,na,na,na,"positive, FYM enhances macroaggregation",3,3,complete,"N'Dayegamiye 1996 ""Response of silage corn and wheat to dairy maure and fertilizers in long-term fertilized and manure trials",na,na,na,na,na,na,na,na
